Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
bsd-tsm,16,100,8615,1604,351,7.797008443908407,0.321205901,108.59965348243712
bsd-tsm,17,100,8825,1814,469,11.50558876811563,0.389337684,278.7946038246155
bsd-tsm,18,100,8829,1818,461,8.921136571952255,0.3003172793141452,280.3286323547363
bsd-tsm,19,100,8680,1669,353,11.329160671462713,0.39630199,234.60970735549927
bsd-tsm,20,100,8464,1453,261,7.529915110356616,0.2819040439166433,45.74702572822571
bsd-tsm,21,100,8134,1123,153,9.175734463276887,0.3519391605463426,12.39220380783081
bsd-tsm,22,100,7826,815,118,10.363559322033913,0.3573586128090333,6.364532470703125
bsd-tsm,23,100,7493,482,67,8.486153846153828,0.2900534452600742,3.4315481185913086
fdd-sdp,0,100,7011,0,3,7.832203389830508,1.668967978183583,2.863222122192383
fdd-sdp,1,100,7036,25,1,15.984461538461538,3.582566836726976,1.450717210769653
fdd-sdp,2,100,7036,25,3,7.365000000000001,1.5539097372534871,0.8305869102478027
fdd-sdp,3,100,7011,0,0,4.973333333333333,1.1768487886382624,0.4441580772399902
fdd-sdp,4,100,7011,0,0,0.4478260869565217,2.575,0.2766852378845215
fdd-sdp,5,100,7011,0,0,0,,0.2794656753540039
fdd-sdp,6,100,7039,28,1,2.769090909090908,0.47218153,0.9976708889007568
fdd-sdp,7,100,7045,34,2,11.86218009478673,1.360623323553809,9.42229414
fdd-sdp,8,100,7091,80,15,10.057505668934242,2.022721275950949,64.96618533
fdd-sdp,9,100,7104,93,14,7.473553054662388,1.5864589350517853,76.84725832939148
fdd-sdp,10,100,7245,234,37,13.61668390433088,1.088873662655589,2426.3344373703003
fdd-sdp,11,100,8081,1070,184,20.68906478102228,1.074631143418592,10345.605811357498
fdd-sdp,12,100,7250,239,49,15.74762528344664,2.109948790692984,2480.451822757721
fdd-sdp,13,100,7126,115,20,11.740576642335752,2.088902184197823,519.4373755455017
fdd-sdp,14,100,7100,89,5,11.523679808841104,2.128801082062058,195.1560056209564
fdd-sdp,15,100,7091,80,5,6.671493333,1.4632789153817107,104.57861375808716
fdd-sdp,16,100,7112,101,17,6.954065138721353,1.5939953983683035,140.51083135604858
fdd-sdp,17,100,7125,114,19,10.944990942028976,1.9623605326664568,428.1734807491303
fdd-sdp,18,100,7128,117,23,8.449275893675523,1.4519629107012002,425.2271924
fdd-sdp,19,100,7148,137,16,7.145107913669064,1.3667413470013756,163.47882986068726
fdd-sdp,20,100,7107,96,10,6.458947368421057,1.3893668828535817,54.60700845718384
fdd-sdp,21,100,7064,53,4,7.07319209,1.8421272520920589,13.00192928314209
fdd-sdp,22,100,7036,25,1,6.984322033898303,1.5315761469097342,5.989480734
fdd-sdp,23,100,7029,18,1,4.063076923076924,1.095251865685161,1.435795783996582
bsd-tsm,0,200,7736,725,109,4.368644067796613,0.1877009225254483,6.330735445022583
bsd-tsm,1,200,7451,440,46,10.483999999999993,0.4069909075061997,5.053328990936279
bsd-tsm,2,200,7322,311,30,10.656666666666675,0.3887438546536848,5.525655985
bsd-tsm,3,200,7118,107,19,12.209333333333332,0.4295335939549298,5.128436565
bsd-tsm,4,200,7145,134,13,8.300869565217393,0.2938665083719535,5.173728942871094
bsd-tsm,5,200,7122,111,11,8.677058824,0.3200980628050097,4.820994616
bsd-tsm,6,200,7254,243,33,7.967454545454553,0.287472815,5.677419185638428
bsd-tsm,7,200,7826,815,110,13.275450236966837,0.4330212766103374,9.272786617279053
bsd-tsm,8,200,8292,1281,230,10.55002267573705,0.3496763510143422,35.421281576156616
bsd-tsm,9,200,8504,1493,283,7.869212218649593,0.3267279091908996,69.55292415618896
bsd-tsm,10,200,9117,2106,933,12.541952165481238,0.4476434209935537,738.1925342082977
bsd-tsm,11,200,9260,2249,954,20.42496350364983,0.5508699532488855,8470.524956941605
bsd-tsm,12,200,9171,2160,662,14.209365646258052,0.4591335055919438,1667.702336549759
bsd-tsm,13,200,8916,1905,545,12.208297648012614,0.4175429800705852,406.7506034374237
bsd-tsm,14,200,8600,1589,368,12.186164874551734,0.3655640281516269,141.31009101867676
bsd-tsm,15,200,8575,1564,307,7.387493333333416,0.3001238288037851,90.89289284
bsd-tsm,16,200,8615,1604,351,7.797008443908407,0.321205901,114.46444034576416
bsd-tsm,17,200,8825,1814,469,11.50558876811563,0.389337684,292.9642581939697
bsd-tsm,18,200,8829,1818,461,8.921136571952255,0.3003172793141452,288.44270634651184
bsd-tsm,19,200,8680,1669,353,11.329160671462713,0.39630199,132.82869696617126
bsd-tsm,20,200,8464,1453,261,7.529915110356616,0.2819040439166433,50.95284080505371
bsd-tsm,21,200,8134,1123,153,9.175734463276887,0.3519391605463426,16.16971182823181
bsd-tsm,22,200,7826,815,118,10.363559322033913,0.3573586128090333,9.346293210983276
bsd-tsm,23,200,7493,482,67,8.486153846153828,0.2900534452600742,6.085279941558838
