Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
4,dsd-tsm,4,,7622,611,20,2.904347826086956,0.157419316275626,24.394249200820923
5,dsd-tsm,5,,7589,578,15,2.7058823529411766,0.1217893237963151,23.590707778930664
6,dsd-tsm,6,,7710,699,62,2.747454545454546,0.1169312207665015,26.95188045501709
7,dsd-tsm,7,,8037,1026,221,8.248815165876772,0.2685852275794918,41.60358643531799
8,dsd-tsm,8,,8329,1318,363,6.188458049886646,0.1587050857971116,91.70952486991882
9,dsd-tsm,9,,8480,1469,381,6.247668810289449,0.1824839979563359,102.81413578987122
10,dsd-tsm,10,,9071,2060,899,9.253128636069686,0.2725974457970104,867.6252131462097
11,dsd-tsm,11,,9232,2221,1333,18.24104927007307,0.4823175330582821,7827.68416261673
12,dsd-tsm,12,,9140,2129,719,10.440000566893277,0.2974520708746872,1653.097137451172
13,dsd-tsm,13,,8870,1859,692,10.909351987023236,0.3464965560979531,501.76341915130615
14,dsd-tsm,14,,8542,1531,461,10.729414575866189,0.2863272553831092,217.78097677230835
15,dsd-tsm,15,,8559,1548,404,6.747226666666745,0.2008555860818212,151.25296807289124
16,dsd-tsm,16,,8508,1497,472,7.04320868516294,0.2161703856069217,175.2281379699707
17,dsd-tsm,17,,8710,1699,580,9.955407608695523,0.2696410696323336,377.06842136383057
18,dsd-tsm,18,,8771,1760,573,7.810595783684777,0.2354090851945071,382.0496413707733
19,dsd-tsm,19,,8631,1620,438,6.798477218225504,0.1973107756363594,202.6581754684448
20,dsd-tsm,20,,8444,1433,323,7.028556876061173,0.2083352919929618,100.13360333442688
21,dsd-tsm,21,,8082,1071,193,8.551723163841837,0.2574184082021958,48.68723702430725
22,dsd-tsm,22,,7832,821,134,8.636864406779633,0.255250183135874,36.87469530105591
23,dsd-tsm,23,,7474,463,70,7.539999999999988,0.2288360476832255,28.130017280578613
0,DeliSense,11,1000.0,9553,2542,313,20.84869069343113,0.9342193147093438,9087.32668185234
1,DeliSense,12,1000.0,9293,2282,94,16.091735260770886,1.401648979332491,4264.117743968964
2,DeliSense,13,1000.0,8850,1839,27,12.208297648012971,2.506159233098657,3029.78985118866
3,DeliSense,14,1000.0,8719,1708,9,12.186164874551949,2.2229211617582774,2812.9128592014317
4,DeliSense,15,1000.0,8707,1696,14,7.38749333333334,1.3620830821344891,2718.022154569626
5,DeliSense,16,1000.0,8698,1687,18,7.79700844390833,1.5156573636566486,2765.1488513946533
6,DeliSense,17,1000.0,8784,1773,23,11.505588768115931,1.8519755226670116,2959.805911779404
7,DeliSense,18,1000.0,8830,1819,29,8.921136571952328,1.3404999363067716,2958.306445121765
8,DeliSense,19,1000.0,8804,1793,22,11.32916067146282,1.4354049870503949,2765.1541764736176
9,DeliSense,20,1000.0,8667,1656,13,7.52991511035654,1.4346822952734368,2680.4195489883423
10,DeliSense,21,1000.0,8602,1591,4,9.17573446327684,1.6907403601984712,2636.418758392334
11,DeliSense,22,1000.0,8482,1471,3,10.3635593220339,1.5073205148350624,2629.012847661972
12,DeliSense,23,1000.0,8485,1474,1,8.486153846153847,1.074390358645281,2623.6542439460754
0,DeliSense,0,1000.0,8502,1491,3,10.026271186440674,1.6180003524437083,2664.9936141967773
1,DeliSense,1,1000.0,8495,1484,3,20.248615384615384,1.8650181673834385,2667.8089740276337
2,DeliSense,2,1000.0,8551,1540,3,12.215208333333337,1.2035758458657828,2673.392362117768
3,DeliSense,3,1000.0,8427,1416,8,26.876,0.9586834164330156,2657.081768512726
4,DeliSense,4,1000.0,8404,1393,0,8.300869565217392,1.1338939755309096,2651.6383430957794
5,DeliSense,5,1000.0,8425,1414,7,10.435882352941178,0.44766832818052,2637.593187570572
6,DeliSense,6,1000.0,8479,1468,1,8.192909090909088,0.9027973771309205,2667.213721036911
7,DeliSense,7,1000.0,8518,1507,3,13.275450236966822,1.4497979506767458,2657.356127977371
